environment_scenario,shield_g_cm2,mapping_id,estimate_type,rate_reconstruction_route,nu_direct_total_s-1,nu_accumulation_total_bit_s-1,f_D,S_D,tau_max_U_s,bound_status
GCR-ARTICLE-BACKGROUND,3.5,W_00_01,ARTICLE_CONFIDENCE_STYLE,SPECTRAL_EXTERNAL_CONVOLUTION,2.1849511122718473e-12,0.0001223183844444604,0.689570571032995,-2.22134406949635,71.15912783561078,CERTIFIED-POSITIVE-PERIOD
GCR-ARTICLE-BACKGROUND,4.0,W_00_01,ARTICLE_CONFIDENCE_STYLE,SPECTRAL_EXTERNAL_CONVOLUTION,1.9762634739183772e-12,0.0001154512706394176,0.6237087523686399,-1.657515970128719,96.82285535275088,CERTIFIED-POSITIVE-PERIOD
GCR-ARTICLE-BACKGROUND,1.5,W_00_11,POINT,SPECTRAL_EXTERNAL_CONVOLUTION,1.3811950020668296e-13,0.0001703808607956959,0.04359051426522914,-0.045577250032960835,112.99350019027146,CERTIFIED-POSITIVE-PERIOD
GCR-ARTICLE-BACKGROUND,1.75,W_00_11,POINT,SPECTRAL_EXTERNAL_CONVOLUTION,1.265706865088183e-13,0.0001605034465681091,0.03994570866218305,-0.04160776012627315,127.8139542686257,CERTIFIED-POSITIVE-PERIOD
GCR-ARTICLE-BACKGROUND,2.0,W_00_11,POINT,SPECTRAL_EXTERNAL_CONVOLUTION,1.1711561902665597e-13,0.0001525969966717954,0.036961689364812624,-0.03838028971083606,141.84133006260953,CERTIFIED-POSITIVE-PERIOD
GCR-ARTICLE-BACKGROUND,2.25,W_00_11,POINT,SPECTRAL_EXTERNAL_CONVOLUTION,1.0863444339222142e-13,0.00014582297649153644,0.034285030334585076,-0.03550222520260154,155.75724231929888,CERTIFIED-POSITIVE-PERIOD
GCR-ARTICLE-BACKGROUND,2.5,W_00_11,POINT,SPECTRAL_EXTERNAL_CONVOLUTION,1.0139542337585009e-13,0.00014016797829826655,0.032000395617418284,-0.03305827344612301,168.9774547885905,CERTIFIED-POSITIVE-PERIOD
GCR-ARTICLE-BACKGROUND,2.75,W_00_11,POINT,SPECTRAL_EXTERNAL_CONVOLUTION,9.488731098109793e-14,0.00013500668762796318,0.029946435345634508,-0.030870909026868593,182.53088314438614,CERTIFIED-POSITIVE-PERIOD
GCR-ARTICLE-BACKGROUND,3.0,W_00_11,POINT,SPECTRAL_EXTERNAL_CONVOLUTION,8.916258960396847e-14,0.00013045998107864148,0.02813971327901245,-0.028954484161457572,195.83955637220427,CERTIFIED-POSITIVE-PERIOD
GCR-ARTICLE-BACKGROUND,3.5,W_00_11,POINT,SPECTRAL_EXTERNAL_CONVOLUTION,7.917767630036894e-14,0.0001223183844444604,0.024988474640396434,-0.02562890180316606,223.49997551821113,CERTIFIED-POSITIVE-PERIOD
GCR-ARTICLE-BACKGROUND,4.0,W_00_11,POINT,SPECTRAL_EXTERNAL_CONVOLUTION,7.09209406246528e-14,0.0001154512706394176,0.022382648861140424,-0.02289510188732444,251.5490433952061,CERTIFIED-POSITIVE-PERIOD
GCR-ARTICLE-BACKGROUND,1.5,W_00_11,ARTICLE_CONFIDENCE_STYLE,SPECTRAL_EXTERNAL_CONVOLUTION,3.9369315710961485e-12,0.0001703808607956959,1.2424956038379444,,,DIRECT-BOUND-EXHAUSTED
GCR-ARTICLE-BACKGROUND,1.75,W_00_11,ARTICLE_CONFIDENCE_STYLE,SPECTRAL_EXTERNAL_CONVOLUTION,3.5573947057204155e-12,0.0001605034465681091,1.1227137691253632,,,DIRECT-BOUND-EXHAUSTED
GCR-ARTICLE-BACKGROUND,2.0,W_00_11,ARTICLE_CONFIDENCE_STYLE,SPECTRAL_EXTERNAL_CONVOLUTION,3.253378046625673e-12,0.0001525969966717954,1.0267661115150626,,,DIRECT-BOUND-EXHAUSTED
GCR-ARTICLE-BACKGROUND,2.25,W_00_11,ARTICLE_CONFIDENCE_STYLE,SPECTRAL_EXTERNAL_CONVOLUTION,3.0018351593405397e-12,0.00014582297649153644,0.9473791762878743,-18.00388343350019,8.487053268740684,CERTIFIED-POSITIVE-PERIOD
GCR-ARTICLE-BACKGROUND,2.5,W_00_11,ARTICLE_CONFIDENCE_STYLE,SPECTRAL_EXTERNAL_CONVOLUTION,2.7972156978668894e-12,0.00014016797829826655,0.8828012742467903,-7.532515977227794,20.458626524826883,CERTIFIED-POSITIVE-PERIOD
GCR-ARTICLE-BACKGROUND,2.75,W_00_11,ARTICLE_CONFIDENCE_STYLE,SPECTRAL_EXTERNAL_CONVOLUTION,2.6145173976372654e-12,0.00013500668762796318,0.8251416906943209,-4.718916098244131,32.902349711040976,CERTIFIED-POSITIVE-PERIOD
GCR-ARTICLE-BACKGROUND,3.0,W_00_11,ARTICLE_CONFIDENCE_STYLE,SPECTRAL_EXTERNAL_CONVOLUTION,2.450212389670736e-12,0.00013045998107864148,0.7732870301800844,-3.4108636607527467,45.684928214485105,CERTIFIED-POSITIVE-PERIOD
GCR-ARTICLE-BACKGROUND,3.5,W_00_11,ARTICLE_CONFIDENCE_STYLE,SPECTRAL_EXTERNAL_CONVOLUTION,2.1849511122718473e-12,0.0001223183844444604,0.689570571032995,-2.22134406949635,71.15912783561078,CERTIFIED-POSITIVE-PERIOD
GCR-ARTICLE-BACKGROUND,4.0,W_00_11,ARTICLE_CONFIDENCE_STYLE,SPECTRAL_EXTERNAL_CONVOLUTION,1.9762634739183772e-12,0.0001154512706394176,0.6237087523686399,-1.657515970128719,96.82285535275088,CERTIFIED-POSITIVE-PERIOD
