shield_g_cm2,mapping_id,estimate_type,nu_direct_peak_s-1,nu_accumulation_peak_s-1,rate_reconstruction_route,status
2,W_00_11,POINT,5.981677363e-10,0.5028683043,SPECTRAL_EXTERNAL_CONVOLUTION,PEAK-RATE-DIAGNOSTIC; NO-MISSION-INTEGRATION-WITHOUT-DURATION
2.25,W_00_11,POINT,4.486258022e-10,0.4063011775,SPECTRAL_EXTERNAL_CONVOLUTION,PEAK-RATE-DIAGNOSTIC; NO-MISSION-INTEGRATION-WITHOUT-DURATION
2.5,W_00_11,POINT,3.491842115e-10,0.3361546023,SPECTRAL_EXTERNAL_CONVOLUTION,PEAK-RATE-DIAGNOSTIC; NO-MISSION-INTEGRATION-WITHOUT-DURATION
2.75,W_00_11,POINT,2.770700809e-10,0.2830140151,SPECTRAL_EXTERNAL_CONVOLUTION,PEAK-RATE-DIAGNOSTIC; NO-MISSION-INTEGRATION-WITHOUT-DURATION
3,W_00_11,POINT,2.23933353e-10,0.242255443,SPECTRAL_EXTERNAL_CONVOLUTION,PEAK-RATE-DIAGNOSTIC; NO-MISSION-INTEGRATION-WITHOUT-DURATION
3.5,W_00_11,POINT,1.533374146e-10,0.1843332423,SPECTRAL_EXTERNAL_CONVOLUTION,PEAK-RATE-DIAGNOSTIC; NO-MISSION-INTEGRATION-WITHOUT-DURATION
4,W_00_11,POINT,1.093098401e-10,0.1455618455,SPECTRAL_EXTERNAL_CONVOLUTION,PEAK-RATE-DIAGNOSTIC; NO-MISSION-INTEGRATION-WITHOUT-DURATION
1.5,W_00_11,ARTICLE_CONFIDENCE_STYLE,4.827178006e-08,0.8529936628,SPECTRAL_EXTERNAL_CONVOLUTION,PEAK-RATE-DIAGNOSTIC; NO-MISSION-INTEGRATION-WITHOUT-DURATION
1.75,W_00_11,ARTICLE_CONFIDENCE_STYLE,3.351352883e-08,0.6423686076,SPECTRAL_EXTERNAL_CONVOLUTION,PEAK-RATE-DIAGNOSTIC; NO-MISSION-INTEGRATION-WITHOUT-DURATION
2,W_00_11,ARTICLE_CONFIDENCE_STYLE,2.42281291e-08,0.5028683043,SPECTRAL_EXTERNAL_CONVOLUTION,PEAK-RATE-DIAGNOSTIC; NO-MISSION-INTEGRATION-WITHOUT-DURATION
2.25,W_00_11,ARTICLE_CONFIDENCE_STYLE,1.817109682e-08,0.4063011775,SPECTRAL_EXTERNAL_CONVOLUTION,PEAK-RATE-DIAGNOSTIC; NO-MISSION-INTEGRATION-WITHOUT-DURATION
2.5,W_00_11,ARTICLE_CONFIDENCE_STYLE,1.414332409e-08,0.3361546023,SPECTRAL_EXTERNAL_CONVOLUTION,PEAK-RATE-DIAGNOSTIC; NO-MISSION-INTEGRATION-WITHOUT-DURATION
2.75,W_00_11,ARTICLE_CONFIDENCE_STYLE,1.12224202e-08,0.2830140151,SPECTRAL_EXTERNAL_CONVOLUTION,PEAK-RATE-DIAGNOSTIC; NO-MISSION-INTEGRATION-WITHOUT-DURATION
3,W_00_11,ARTICLE_CONFIDENCE_STYLE,9.070175234e-09,0.242255443,SPECTRAL_EXTERNAL_CONVOLUTION,PEAK-RATE-DIAGNOSTIC; NO-MISSION-INTEGRATION-WITHOUT-DURATION
3.5,W_00_11,ARTICLE_CONFIDENCE_STYLE,6.210764058e-09,0.1843332423,SPECTRAL_EXTERNAL_CONVOLUTION,PEAK-RATE-DIAGNOSTIC; NO-MISSION-INTEGRATION-WITHOUT-DURATION
4,W_00_11,ARTICLE_CONFIDENCE_STYLE,4.427475368e-09,0.1455618455,SPECTRAL_EXTERNAL_CONVOLUTION,PEAK-RATE-DIAGNOSTIC; NO-MISSION-INTEGRATION-WITHOUT-DURATION
